stemmested,year,change
Hele landet,2007,5.3
Hele landet,2011,3.6
Hele landet,2015,8.4
Hele landet,2019,2.9
Hele landet,2022,10.1
Hovedstadskommuner,2007,6.4
Hovedstadskommuner,2011,10.5
Hovedstadskommuner,2015,12.9
Hovedstadskommuner,2019,6.8
Hovedstadskommuner,2022,13.7
Storbykommuner,2007,5.2
Storbykommuner,2011,9.9
Storbykommuner,2015,11.5
Storbykommuner,2019,9.3
Storbykommuner,2022,12.2
Provinsbykommuner,2007,5.8
Provinsbykommuner,2011,3.5
Provinsbykommuner,2015,8.9
Provinsbykommuner,2019,2.8
Provinsbykommuner,2022,11.0
Oplandskommuner,2007,7.9
Oplandskommuner,2011,0.1
Oplandskommuner,2015,7.7
Oplandskommuner,2019,1.7
Oplandskommuner,2022,9.2
Landkommuner,2007,1.5
Landkommuner,2011,-5.6
Landkommuner,2015,0.7
Landkommuner,2019,-5.5
Landkommuner,2022,3.3
København,2007,12.2
København,2011,17.6
København,2015,19.5
København,2019,14.3
København,2022,14.3
Frederiksberg,2007,13.1
Frederiksberg,2011,14.5
Frederiksberg,2015,12.5
Frederiksberg,2019,3.3
Frederiksberg,2022,10.2
Dragør,2007,5.8
Dragør,2011,-1.8
Dragør,2015,8.1
Dragør,2019,15.7
Dragør,2022,-2.1
Tårnby,2007,6.1
Tårnby,2011,7.7
Tårnby,2015,6.7
Tårnby,2019,0.1
Tårnby,2022,7.5
Albertslund,2007,-0.2
Albertslund,2011,2.3
Albertslund,2015,2.7
Albertslund,2019,-5.2
Albertslund,2022,-2.5
Ballerup,2007,4.3
Ballerup,2011,1.3
Ballerup,2015,-2.7
Ballerup,2019,3.0
Ballerup,2022,15.5
Brøndby,2007,-3.4
Brøndby,2011,1.9
Brøndby,2015,7.8
Brøndby,2019,-8.7
Brøndby,2022,41.4
Gentofte,2007,3.5
Gentofte,2011,15.3
Gentofte,2015,5.6
Gentofte,2019,-4.6
Gentofte,2022,8.4
Gladsaxe,2007,10.0
Gladsaxe,2011,5.4
Gladsaxe,2015,8.4
Gladsaxe,2019,-6.0
Gladsaxe,2022,10.7
Glostrup,2007,2.7
Glostrup,2011,12.4
Glostrup,2015,4.7
Glostrup,2019,22.7
Glostrup,2022,5.1
Herlev,2007,-6.6
Herlev,2011,0.4
Herlev,2015,9.8
Herlev,2019,5.8
Herlev,2022,12.1
Hvidovre,2007,-0.8
Hvidovre,2011,10.4
Hvidovre,2015,8.6
Hvidovre,2019,2.1
Hvidovre,2022,3.3
Høje-Taastrup,2007,10.2
Høje-Taastrup,2011,6.9
Høje-Taastrup,2015,14.8
Høje-Taastrup,2019,1.4
Høje-Taastrup,2022,41.6
Ishøj,2007,-1.4
Ishøj,2011,13.9
Ishøj,2015,15.1
Ishøj,2019,1.9
Ishøj,2022,10.0
Lyngby-Taarbæk,2007,-5.8
Lyngby-Taarbæk,2011,9.4
Lyngby-Taarbæk,2015,5.8
Lyngby-Taarbæk,2019,7.6
Lyngby-Taarbæk,2022,10.5
Rødovre,2007,-2.8
Rødovre,2011,9.8
Rødovre,2015,6.9
Rødovre,2019,15.0
Rødovre,2022,28.5
Vallensbæk,2007,20.9
Vallensbæk,2011,8.3
Vallensbæk,2015,14.1
Vallensbæk,2019,-1.3
Vallensbæk,2022,32.9
Allerød,2007,-4.9
Allerød,2011,-2.2
Allerød,2015,13.1
Allerød,2019,-0.5
Allerød,2022,7.5
Egedal,2007,11.9
Egedal,2011,5.0
Egedal,2015,4.7
Egedal,2019,0.4
Egedal,2022,18.6
