stemmested,year,percentage
Aabenraa,2007,70.80783988385357
Aabenraa,2011,72.22393109812366
Aabenraa,2015,73.45093790207896
Aabenraa,2019,74.51687624090006
Aabenraa,2022,75.6146397505334
Aalborg,2007,55.304665772020925
Aalborg,2011,56.59699082982138
Aalborg,2015,56.52835700082704
Aalborg,2019,57.88937016500093
Aalborg,2022,59.09135153550397
Aarhus,2007,46.18411284335561
Aarhus,2011,46.89833495663466
Aarhus,2015,48.36252438676867
Aarhus,2019,48.992669298200646
Aarhus,2022,50.464141670319066
Albertslund,2007,50.56371458240617
Albertslund,2011,50.60860744819592
Albertslund,2015,52.034656629500745
Albertslund,2019,53.313378811081726
Albertslund,2022,55.30366638678981
Allerød,2007,74.47860037560542
Allerød,2011,75.70692838402488
Allerød,2015,75.99551318003364
Allerød,2019,75.70240700218818
Allerød,2022,76.87392055267703
Assens,2007,71.43221592938416
Assens,2011,73.20636839983877
Assens,2015,74.25378693816737
Assens,2019,75.55911318100227
Assens,2022,76.75375634031964
Ballerup,2007,56.16838487972509
Ballerup,2011,56.229039870823506
Ballerup,2015,58.23960080166878
Ballerup,2019,60.174867832452215
Ballerup,2022,60.9332910790683
Billund,2007,73.61191083326479
Billund,2011,75.5660147691309
Billund,2015,75.73922617175212
Billund,2019,77.38578097497512
Billund,2022,77.52159218926023
Bornholm,2007,62.288193032398
Bornholm,2011,63.36263836377716
Bornholm,2015,64.35176622896246
Bornholm,2019,66.49920073076045
Bornholm,2022,69.14378759781084
Brøndby,2007,52.27179215893728
Brøndby,2011,53.36107739437027
Brøndby,2015,53.512316634375864
Brøndby,2019,54.71883173496077
Brøndby,2022,56.25636353893147
Brønderslev,2007,69.73754686663096
Brønderslev,2011,71.46616761214106
Brønderslev,2015,72.58975968947999
Brønderslev,2019,74.26949407246619
Brønderslev,2022,76.10163861824624
Christiansø,2007,43.18181818181818
Christiansø,2011,41.46341463414634
Christiansø,2015,35.0
Christiansø,2019,45.23809523809524
Christiansø,2022,51.21951219512195
Dragør,2007,68.98869037862644
Dragør,2011,68.88260254596888
Dragør,2015,70.55868473131375
Dragør,2019,71.24533929903058
Dragør,2022,72.72328606928812
Egedal,2007,78.7713148357198
Egedal,2011,79.0891560798548
Egedal,2015,78.68781464840579
Egedal,2019,77.64633268182286
Egedal,2022,77.92557166342849
Esbjerg,2007,61.83098343009406
Esbjerg,2011,63.32067656196065
Esbjerg,2015,65.230156587473
Esbjerg,2019,67.66858381261981
Esbjerg,2022,69.03160947954777
Faaborg-Midtfyn,2007,70.89165790112469
Faaborg-Midtfyn,2011,72.58148162923365
Faaborg-Midtfyn,2015,73.71091445427729
Faaborg-Midtfyn,2019,74.6801321234671
Faaborg-Midtfyn,2022,76.25961683511842
Fanø,2007,51.41800246609125
Fanø,2011,54.61584276354973
Fanø,2015,57.56880733944955
Fanø,2019,61.457758144671445
Fanø,2022,65.18438177874187
Favrskov,2007,76.45950076413652
Favrskov,2011,77.73608810057499
Favrskov,2015,78.69294017578679
Favrskov,2019,79.84209565534867
Favrskov,2022,80.4720741702871
Faxe,2007,70.2463112803427
Faxe,2011,71.99929808142255
Faxe,2015,71.43018654607123
Faxe,2019,71.83532536520585
Faxe,2022,73.13234542667348
Fredensborg,2007,66.031015398104
Fredensborg,2011,66.3907996560619
Fredensborg,2015,67.38291436320016
Fredensborg,2019,68.23882088433675
Fredensborg,2022,69.32789623661196
Fredericia,2007,63.191532668430696
Fredericia,2011,64.56073429491
Fredericia,2015,65.92889372957835
Fredericia,2019,67.72391557005211
Fredericia,2022,68.9639986788506
Frederiksberg,2007,36.76439790575916
Frederiksberg,2011,35.53226367294223
Frederiksberg,2015,36.38838329333312
Frederiksberg,2019,37.1278146768184
Frederiksberg,2022,38.08437302781689
Frederikshavn,2007,63.1003738855335
Frederikshavn,2011,65.50520416333066
Frederikshavn,2015,67.13357629535732
Frederikshavn,2019,68.89658183632734
Frederikshavn,2022,70.44094488188976
Frederikssund,2007,70.44520713491565
Frederikssund,2011,70.87976677481545
Frederikssund,2015,72.12353101940421
Frederikssund,2019,72.8932768336901
Frederikssund,2022,74.63180679937184
Furesø,2007,67.85693310624302
Furesø,2011,68.12922442433268
Furesø,2015,69.04959822665559
Furesø,2019,68.38850491087668
Furesø,2022,70.62771009704728
Gentofte,2007,58.93497183819765
Gentofte,2011,58.22767402843863
Gentofte,2015,58.39369912809841
Gentofte,2019,57.56344379194631
Gentofte,2022,58.75056683293766
Gladsaxe,2007,51.305352570108056
Gladsaxe,2011,52.4944467791319
Gladsaxe,2015,53.98726851851852
Gladsaxe,2019,54.04859978436956
Gladsaxe,2022,56.428391713958234
Glostrup,2007,53.44796215429404
Glostrup,2011,54.18999300209937
Glostrup,2015,55.6495518887679
Glostrup,2019,56.52857024725048
Glostrup,2022,57.9167984814932
Greve,2007,69.93376256426885
Greve,2011,70.27751283099423
Greve,2015,70.71422327126497
Greve,2019,70.50239733166562
Greve,2022,71.15384615384616
Gribskov,2007,72.36660003075504
Gribskov,2011,73.23113796374894
Gribskov,2015,73.63277488927402
Gribskov,2019,74.49430365031388
Gribskov,2022,75.3498829899509
Guldborgsund,2007,63.679557346484636
Guldborgsund,2011,64.84743016592157
Guldborgsund,2015,65.66836887954341
Guldborgsund,2019,67.39419356744145
Guldborgsund,2022,69.60070723441875
Haderslev,2007,68.44628459359338
Haderslev,2011,69.63970773494583
Haderslev,2015,70.31398667935301
Haderslev,2019,71.92648484009413
Haderslev,2022,73.00154453406556
Halsnæs,2007,65.9090909090909
Halsnæs,2011,66.82124253589124
Halsnæs,2015,68.19741685905035
Halsnæs,2019,70.77757685352623
Halsnæs,2022,72.5880822889572
Hedensted,2007,76.30910268546658
Hedensted,2011,77.2948021349233
Hedensted,2015,78.86148363499953
Hedensted,2019,79.14469830111305
Hedensted,2022,79.60308710033075
Hele landet,2007,58.83104671817523
Hele landet,2011,59.56730936428474
Hele landet,2015,60.34040510319066
Hele landet,2019,61.331713722443105
Hele landet,2022,62.60497898261191
Helsingør,2007,57.36461858890913
Helsingør,2011,58.36064520275046
Helsingør,2015,60.05768748432405
Helsingør,2019,62.24782105199
Helsingør,2022,64.83905092942422
Herlev,2007,53.31262939958592
Herlev,2011,55.29245843230404
Herlev,2015,56.627687136755135
Herlev,2019,58.961359276514116
Herlev,2022,59.99323638823132
Herning,2007,68.0798067730086
Herning,2011,68.62844579739557
Herning,2015,69.89300295649726
Herning,2019,71.43502620639798
Herning,2022,73.23792965092952
Hillerød,2007,65.54303657185075
Hillerød,2011,65.94257399460248
Hillerød,2015,66.93646979469669
Hillerød,2019,67.92685841765596
Hillerød,2022,68.45911714007345
Hjørring,2007,65.97232921455644
Hjørring,2011,68.65905323263954
Hjørring,2015,70.2912857273031
Hjørring,2019,72.06337752923845
Hjørring,2022,73.36069256807357
Holbæk,2007,66.13897280966768
Holbæk,2011,67.39834049314423
Holbæk,2015,69.26332879134897
Holbæk,2019,70.27842545604169
Holbæk,2022,71.74425066821924
Holstebro,2007,67.30980449586292
Holstebro,2011,69.13637999280317
Holstebro,2015,70.47790611423122
Holstebro,2019,72.21592665087051
Holstebro,2022,73.9675866277887
Horsens,2007,63.964541005867126
Horsens,2011,64.35626744327145
Horsens,2015,65.3823246437898
Horsens,2019,66.96135716923344
Horsens,2022,68.90600543702116
Hvidovre,2007,51.005917159763314
Hvidovre,2011,52.51655629139073
Hvidovre,2015,53.89395348837209
Hvidovre,2019,54.84213222112465
Hvidovre,2022,56.72430884458641
Høje-Taastrup,2007,58.18606495967564
Høje-Taastrup,2011,59.4536273790514
Høje-Taastrup,2015,59.81723882440109
Høje-Taastrup,2019,60.215891820272006
Høje-Taastrup,2022,61.13834924613853
Hørsholm,2007,69.45904697303715
Hørsholm,2011,68.32654418488653
Hørsholm,2015,68.99749979837082
Hørsholm,2019,68.06374501992032
Hørsholm,2022,69.91515151515152
Ikast-Brande,2007,71.62110754850279
Ikast-Brande,2011,72.48635600335852
Ikast-Brande,2015,74.17922775139377
Ikast-Brande,2019,74.68065013171629
Ikast-Brande,2022,74.95794280221101
Ishøj,2007,53.2838552257015
Ishøj,2011,53.898237578412825
Ishøj,2015,54.25689431797149
Ishøj,2019,55.65390957216003
Ishøj,2022,57.66582703610411
Jammerbugt,2007,72.78410977094168
Jammerbugt,2011,73.92060902664491
