stemmested,year,ratio
Region Hovedstaden,2007,117.21477070769978
Region Hovedstaden,2011,121.38252031951
Region Hovedstaden,2015,114.18893918674212
Region Hovedstaden,2019,104.22398402586495
Region Hovedstaden,2022,94.63115951541123
København,2007,185.31325204320393
København,2011,186.90365270410965
København,2015,167.6906353919542
København,2019,157.74358196647503
København,2022,132.67357684457002
Frederiksberg,2007,88.68413167244553
Frederiksberg,2011,99.34468416170442
Frederiksberg,2015,86.71089358773372
Frederiksberg,2019,73.65673845333232
Frederiksberg,2022,78.43436608429309
Dragør,2007,51.127365960334814
Dragør,2011,48.46232327649031
Dragør,2015,43.31490146037147
Dragør,2019,48.29015544041451
Dragør,2022,36.56619506527237
Tårnby,2007,139.56917233106756
Tårnby,2011,159.15332085834407
Tårnby,2015,233.75775383610838
Tårnby,2019,183.5824017477398
Tårnby,2022,180.76004544506017
Albertslund,2007,108.83269328309542
Albertslund,2011,105.74431327382666
Albertslund,2015,97.26925571006556
Albertslund,2019,96.94209499024073
Albertslund,2022,100.52219321148826
Ballerup,2007,98.33177689107734
Ballerup,2011,97.00763168292126
Ballerup,2015,90.70181983998674
Ballerup,2019,83.11500773594636
Ballerup,2022,76.02198419384602
Brøndby,2007,99.73101593213325
Brøndby,2011,103.80460310004698
Brøndby,2015,95.90941259731069
Brøndby,2019,89.46305096320746
Brøndby,2022,87.2166074842939
Gentofte,2007,82.46629808599248
Gentofte,2011,82.0249611272412
Gentofte,2015,70.76609163420515
Gentofte,2019,75.53204248344238
Gentofte,2022,65.96041036080679
Gladsaxe,2007,70.88967743997954
Gladsaxe,2011,73.75277799065063
Gladsaxe,2015,77.06386810137418
Gladsaxe,2019,64.81441472583502
Gladsaxe,2022,66.45012663299326
Glostrup,2007,132.7335171479708
Glostrup,2011,114.76550540427704
Glostrup,2015,130.63203309166926
Glostrup,2019,114.87742660728955
Glostrup,2022,99.88999830766627
Herlev,2007,104.56581473256296
Herlev,2011,104.44787006053315
Herlev,2015,100.49365303244005
Herlev,2019,101.84354070289305
Herlev,2022,117.78688806972818
Hvidovre,2007,110.46982584042122
Hvidovre,2011,93.79023472318511
Hvidovre,2015,86.5732069546134
Hvidovre,2019,78.6416109388426
Hvidovre,2022,75.10191868945655
Høje-Taastrup,2007,91.22524280079732
Høje-Taastrup,2011,87.6689540444999
Høje-Taastrup,2015,99.97792095702616
Høje-Taastrup,2019,91.14276744368574
Høje-Taastrup,2022,86.93822280778802
Ishøj,2007,124.52264707304104
Ishøj,2011,104.62967350613657
Ishøj,2015,98.32166576916173
Ishøj,2019,92.35863030408643
Ishøj,2022,79.95912632520117
Lyngby-Taarbæk,2007,102.80083189177633
Lyngby-Taarbæk,2011,92.96198720361309
Lyngby-Taarbæk,2015,96.53119384291445
Lyngby-Taarbæk,2019,78.21822495264061
Lyngby-Taarbæk,2022,70.4620490274903
Rødovre,2007,117.4468791500664
Rødovre,2011,109.93611526437407
Rødovre,2015,96.29199239383055
Rødovre,2019,82.46485104709468
Rødovre,2022,82.2014714204867
Vallensbæk,2007,75.24800387127995
Vallensbæk,2011,72.50548245614036
Vallensbæk,2015,59.21308920919361
Vallensbæk,2019,59.413672954463536
Vallensbæk,2022,48.59092257490359
Allerød,2007,61.72051249308305
Allerød,2011,179.9958411312123
Allerød,2015,244.14403442536434
Allerød,2019,72.9949752658435
Allerød,2022,69.35750220822612
Egedal,2007,55.65835245355636
Egedal,2011,55.43194813273045
Egedal,2015,44.241162295580565
Egedal,2019,36.85034295447222
Egedal,2022,41.881328832829986
Fredensborg,2007,64.42405708460754
