stemmested,year,avg education
Aabenraa,2007,12.501040111597856
Aabenraa,2011,12.581837786921819
Aabenraa,2015,12.721533586818758
Aabenraa,2019,12.879249676584735
Aabenraa,2022,13.0062545701452
Aalborg,2007,13.016999970460521
Aalborg,2011,13.154801122059988
Aalborg,2015,13.40210364360179
Aalborg,2019,13.652170837207422
Aalborg,2022,13.79887617463837
Aarhus,2007,13.478104284443424
Aarhus,2011,13.631360198616123
Aarhus,2015,13.900158347255969
Aarhus,2019,14.165722565118449
Aarhus,2022,14.271185295041489
Albertslund,2007,12.733147517291215
Albertslund,2011,12.819875939652
Albertslund,2015,12.94211346298485
Albertslund,2019,13.060849159572145
Albertslund,2022,13.154406066644526
Allerød,2007,13.8447216890595
Allerød,2011,13.93040958022804
Allerød,2015,14.067240400983545
Allerød,2019,14.284820322180916
Allerød,2022,14.46497189102366
Assens,2007,12.590516782099094
Assens,2011,12.65932331096839
Assens,2015,12.78379896365547
Assens,2019,12.911456980670055
Assens,2022,13.029640137374944
Ballerup,2007,12.873628798386079
Ballerup,2011,12.961711711711711
Ballerup,2015,13.145206393593696
Ballerup,2019,13.387289785237897
Ballerup,2022,13.581258130459023
Billund,2007,12.321937645522176
Billund,2011,12.429140757490108
Billund,2015,12.610293703139973
Billund,2019,12.811482872425174
Billund,2022,12.959746835443038
Bornholm,2007,12.444908814589665
Bornholm,2011,12.524476764810217
Bornholm,2015,12.685657446002274
Bornholm,2019,12.887685582640886
Bornholm,2022,13.065174668110537
Brøndby,2007,12.37758916399138
Brøndby,2011,12.461920457995403
Brøndby,2015,12.682243188356743
Brøndby,2019,12.847624989243611
Brøndby,2022,13.04199082794202
Brønderslev,2007,12.579701642641636
Brønderslev,2011,12.693188503235566
Brønderslev,2015,12.815306594840285
Brønderslev,2019,12.983771874073133
Brønderslev,2022,13.094133118398167
Christiansø,2007,13.058823529411764
Christiansø,2011,13.342857142857143
Christiansø,2015,13.262295081967213
Christiansø,2019,13.70754716981132
Christiansø,2022,14.261904761904763
Dragør,2007,13.344574613284804
Dragør,2011,13.457507879333633
Dragør,2015,13.66235014702556
Dragør,2019,13.858694422445978
Dragør,2022,13.998285518344954
Egedal,2007,13.234951802927526
Egedal,2011,13.302307502031875
Egedal,2015,13.412865043858105
Egedal,2019,13.610869103272417
Egedal,2022,13.766289290966926
Esbjerg,2007,12.667356958519544
Esbjerg,2011,12.76308083146658
Esbjerg,2015,12.980735055015693
Esbjerg,2019,13.171135240839853
Esbjerg,2022,13.288319698740423
Faaborg-Midtfyn,2007,12.654115888710049
Faaborg-Midtfyn,2011,12.72337141538284
Faaborg-Midtfyn,2015,12.8500636264094
Faaborg-Midtfyn,2019,13.004048034671642
Faaborg-Midtfyn,2022,13.143127891359498
Fanø,2007,13.612528473804101
Fanø,2011,13.647392290249433
Fanø,2015,13.730679156908666
Fanø,2019,13.849262957679505
Fanø,2022,13.94175991861648
