parti,stemmested,year,stemmer
A. Socialdemokratiet,København,2007,24.56529217428555
A. Socialdemokratiet,København,2011,19.00841650186267
A. Socialdemokratiet,København,2015,21.899319466960737
A. Socialdemokratiet,København,2019,16.4294811921542
A. Socialdemokratiet,København,2022,17.700223211152135
A. Socialdemokratiet,Frederiksberg,2007,21.239425663630765
A. Socialdemokratiet,Frederiksberg,2011,16.613836400566257
A. Socialdemokratiet,Frederiksberg,2015,21.800984431174683
A. Socialdemokratiet,Frederiksberg,2019,15.67863795200197
A. Socialdemokratiet,Frederiksberg,2022,18.605980107493668
A. Socialdemokratiet,Dragør,2007,19.013278388278387
A. Socialdemokratiet,Dragør,2011,15.512098110705999
A. Socialdemokratiet,Dragør,2015,21.97716945583509
A. Socialdemokratiet,Dragør,2019,19.673397329802494
A. Socialdemokratiet,Dragør,2022,23.493909799187975
A. Socialdemokratiet,Tårnby,2007,29.287204313771795
A. Socialdemokratiet,Tårnby,2011,25.014411436916337
A. Socialdemokratiet,Tårnby,2015,29.171650140823335
A. Socialdemokratiet,Tårnby,2019,31.36691795301344
A. Socialdemokratiet,Tårnby,2022,36.50381431585782
A. Socialdemokratiet,Albertslund,2007,31.9008904374758
A. Socialdemokratiet,Albertslund,2011,30.88103470354719
A. Socialdemokratiet,Albertslund,2015,32.22496168454721
A. Socialdemokratiet,Albertslund,2019,29.66901502060348
A. Socialdemokratiet,Albertslund,2022,33.64356867592525
A. Socialdemokratiet,Ballerup,2007,36.19118092226969
A. Socialdemokratiet,Ballerup,2011,33.09936462526197
A. Socialdemokratiet,Ballerup,2015,35.64218468545016
A. Socialdemokratiet,Ballerup,2019,33.23755452468324
A. Socialdemokratiet,Ballerup,2022,35.44452765593238
A. Socialdemokratiet,Brøndby,2007,33.56842737094838
A. Socialdemokratiet,Brøndby,2011,32.658740197318494
A. Socialdemokratiet,Brøndby,2015,35.32261499148211
A. Socialdemokratiet,Brøndby,2019,34.81759364975806
A. Socialdemokratiet,Brøndby,2022,36.359481231788834
A. Socialdemokratiet,Gentofte,2007,13.663767315569055
A. Socialdemokratiet,Gentofte,2011,11.8624120089712
A. Socialdemokratiet,Gentofte,2015,17.437082120882295
A. Socialdemokratiet,Gentofte,2019,11.527126590756865
A. Socialdemokratiet,Gentofte,2022,12.730754670764023
A. Socialdemokratiet,Gladsaxe,2007,27.705672209514507
A. Socialdemokratiet,Gladsaxe,2011,25.953565505804313
A. Socialdemokratiet,Gladsaxe,2015,29.769858945805495
A. Socialdemokratiet,Gladsaxe,2019,25.63397651653349
A. Socialdemokratiet,Gladsaxe,2022,27.650002661981578
A. Socialdemokratiet,Glostrup,2007,31.314723097703737
A. Socialdemokratiet,Glostrup,2011,28.89908256880734
A. Socialdemokratiet,Glostrup,2015,31.275078020508246
A. Socialdemokratiet,Glostrup,2019,30.088088854844887
A. Socialdemokratiet,Glostrup,2022,32.81298539919229
A. Socialdemokratiet,Herlev,2007,32.8380745304101
A. Socialdemokratiet,Herlev,2011,30.959547315193834
A. Socialdemokratiet,Herlev,2015,33.76873532775537
A. Socialdemokratiet,Herlev,2019,31.998552647449042
A. Socialdemokratiet,Herlev,2022,33.76574068214896
A. Socialdemokratiet,Hvidovre,2007,30.823630024340503
A. Socialdemokratiet,Hvidovre,2011,28.662666924714536
A. Socialdemokratiet,Hvidovre,2015,31.833932657731285
A. Socialdemokratiet,Hvidovre,2019,29.4004764425622
A. Socialdemokratiet,Hvidovre,2022,32.296567949072795
A. Socialdemokratiet,Høje-Taastrup,2007,28.508486818345972
A. Socialdemokratiet,Høje-Taastrup,2011,27.6
A. Socialdemokratiet,Høje-Taastrup,2015,29.103565742214982
A. Socialdemokratiet,Høje-Taastrup,2019,27.148100981346918
A. Socialdemokratiet,Høje-Taastrup,2022,29.373838510259034
A. Socialdemokratiet,Ishøj,2007,32.593274988484566
A. Socialdemokratiet,Ishøj,2011,31.87646740111974
A. Socialdemokratiet,Ishøj,2015,34.07868666855364
A. Socialdemokratiet,Ishøj,2019,30.212726080029988
A. Socialdemokratiet,Ishøj,2022,32.6946349334409
A. Socialdemokratiet,Lyngby-Taarbæk,2007,20.31816411516223
A. Socialdemokratiet,Lyngby-Taarbæk,2011,18.00668543279381
A. Socialdemokratiet,Lyngby-Taarbæk,2015,23.339731285988485
A. Socialdemokratiet,Lyngby-Taarbæk,2019,17.990023474178404
A. Socialdemokratiet,Lyngby-Taarbæk,2022,19.059672398242704
A. Socialdemokratiet,Rødovre,2007,33.444713123763464
A. Socialdemokratiet,Rødovre,2011,31.633452266991558
A. Socialdemokratiet,Rødovre,2015,33.81147540983606
A. Socialdemokratiet,Rødovre,2019,31.391164867559716
A. Socialdemokratiet,Rødovre,2022,33.075870591870064
A. Socialdemokratiet,Vallensbæk,2007,23.654835068355702
A. Socialdemokratiet,Vallensbæk,2011,22.258244829513696
A. Socialdemokratiet,Vallensbæk,2015,26.868845120859444
A. Socialdemokratiet,Vallensbæk,2019,24.84689413823272
A. Socialdemokratiet,Vallensbæk,2022,26.952347500292706
