parti,stemmested,year,stemmer
GYLDIGE STEMMER I ALT,København,2007,308138
GYLDIGE STEMMER I ALT,København,2011,326145
GYLDIGE STEMMER I ALT,København,2015,333709
GYLDIGE STEMMER I ALT,København,2019,353310
GYLDIGE STEMMER I ALT,København,2022,356165
GYLDIGE STEMMER I ALT,Frederiksberg,2007,61706
GYLDIGE STEMMER I ALT,Frederiksberg,2011,64988
GYLDIGE STEMMER I ALT,Frederiksberg,2015,64809
GYLDIGE STEMMER I ALT,Frederiksberg,2019,64961
GYLDIGE STEMMER I ALT,Frederiksberg,2022,64748
GYLDIGE STEMMER I ALT,Dragør,2007,8736
GYLDIGE STEMMER I ALT,Dragør,2011,9051
GYLDIGE STEMMER I ALT,Dragør,2015,9023
GYLDIGE STEMMER I ALT,Dragør,2019,9063
GYLDIGE STEMMER I ALT,Dragør,2022,9113
GYLDIGE STEMMER I ALT,Tårnby,2007,25407
GYLDIGE STEMMER I ALT,Tårnby,2011,26021
GYLDIGE STEMMER I ALT,Tårnby,2015,25919
GYLDIGE STEMMER I ALT,Tårnby,2019,25071
GYLDIGE STEMMER I ALT,Tårnby,2022,24644
GYLDIGE STEMMER I ALT,Albertslund,2007,15498
GYLDIGE STEMMER I ALT,Albertslund,2011,15618
GYLDIGE STEMMER I ALT,Albertslund,2015,15007
GYLDIGE STEMMER I ALT,Albertslund,2019,15046
GYLDIGE STEMMER I ALT,Albertslund,2022,13753
GYLDIGE STEMMER I ALT,Ballerup,2007,29731
GYLDIGE STEMMER I ALT,Ballerup,2011,30061
GYLDIGE STEMMER I ALT,Ballerup,2015,29423
GYLDIGE STEMMER I ALT,Ballerup,2019,28886
GYLDIGE STEMMER I ALT,Ballerup,2022,28041
GYLDIGE STEMMER I ALT,Brøndby,2007,19992
GYLDIGE STEMMER I ALT,Brøndby,2011,19765
GYLDIGE STEMMER I ALT,Brøndby,2015,18784
GYLDIGE STEMMER I ALT,Brøndby,2019,18393
GYLDIGE STEMMER I ALT,Brøndby,2022,17503
GYLDIGE STEMMER I ALT,Gentofte,2007,43458
GYLDIGE STEMMER I ALT,Gentofte,2011,45033
GYLDIGE STEMMER I ALT,Gentofte,2015,45019
GYLDIGE STEMMER I ALT,Gentofte,2019,44790
GYLDIGE STEMMER I ALT,Gentofte,2022,44907
GYLDIGE STEMMER I ALT,Gladsaxe,2007,38909
GYLDIGE STEMMER I ALT,Gladsaxe,2011,39798
GYLDIGE STEMMER I ALT,Gladsaxe,2015,39063
GYLDIGE STEMMER I ALT,Gladsaxe,2019,38921
