stemmested,year,avg salary
Hele landet,2007,269032
Hele landet,2011,282647
Hele landet,2015,308144
Hele landet,2019,338122
Hele landet,2022,371900
Landsdel Byen København,2007,264790
Landsdel Byen København,2011,286737
Landsdel Byen København,2015,314970
Landsdel Byen København,2019,353203
Landsdel Byen København,2022,392878
København,2007,255185
København,2011,277048
København,2015,304699
København,2019,342385
København,2022,383030
Frederiksberg,2007,306039
Frederiksberg,2011,326855
Frederiksberg,2015,364056
Frederiksberg,2019,412387
Frederiksberg,2022,451144
Dragør,2007,328772
Dragør,2011,366796
Dragør,2015,395557
Dragør,2019,437574
Dragør,2022,472765
Tårnby,2007,269854
Tårnby,2011,291759
Tårnby,2015,310723
Tårnby,2019,339955
Tårnby,2022,372285
Landsdel Københavns omegn,2007,303249
Landsdel Københavns omegn,2011,320556
Landsdel Københavns omegn,2015,361721
Landsdel Københavns omegn,2019,388125
Landsdel Københavns omegn,2022,427051
Albertslund,2007,248985
Albertslund,2011,259955
Albertslund,2015,275786
Albertslund,2019,295184
Albertslund,2022,322050
Ballerup,2007,273451
Ballerup,2011,289781
Ballerup,2015,314747
Ballerup,2019,339849
Ballerup,2022,369658
Brøndby,2007,248438
Brøndby,2011,261804
Brøndby,2015,273606
Brøndby,2019,295586
Brøndby,2022,321585
Gentofte,2007,467806
Gentofte,2011,485273
Gentofte,2015,611952
Gentofte,2019,663328
Gentofte,2022,744111
Gladsaxe,2007,282406
Gladsaxe,2011,303516
Gladsaxe,2015,328195
Gladsaxe,2019,357810
Gladsaxe,2022,394784
Glostrup,2007,273732
Glostrup,2011,290727
Glostrup,2015,308247
Glostrup,2019,331431
Glostrup,2022,362639
Herlev,2007,266147
Herlev,2011,286920
Herlev,2015,307022
Herlev,2019,334649
Herlev,2022,364777
Hvidovre,2007,263065
Hvidovre,2011,280589
Hvidovre,2015,300369
Hvidovre,2019,328742
Hvidovre,2022,362017
Høje-Taastrup,2007,272145
Høje-Taastrup,2011,282688
Høje-Taastrup,2015,295065
Høje-Taastrup,2019,318459
Høje-Taastrup,2022,344570
Ishøj,2007,247706
Ishøj,2011,257168
Ishøj,2015,268993
Ishøj,2019,290740
Ishøj,2022,319991
Lyngby-Taarbæk,2007,353114
Lyngby-Taarbæk,2011,375443
Lyngby-Taarbæk,2015,463346
Lyngby-Taarbæk,2019,470822
Lyngby-Taarbæk,2022,521510
Rødovre,2007,263236
Rødovre,2011,278523
Rødovre,2015,302880
Rødovre,2019,330436
Rødovre,2022,363577
Vallensbæk,2007,310855
Vallensbæk,2011,320512
Vallensbæk,2015,343110
Vallensbæk,2019,358542
Vallensbæk,2022,387237
Landsdel Nordsjælland,2007,332100
Landsdel Nordsjælland,2011,343370
Landsdel Nordsjælland,2015,379354
Landsdel Nordsjælland,2019,414861
Landsdel Nordsjælland,2022,444004
Allerød,2007,357408
Allerød,2011,379782
Allerød,2015,401109
Allerød,2019,437980
Allerød,2022,471017
Egedal,2007,320376
Egedal,2011,333340
Egedal,2015,358261
Egedal,2019,382190
Egedal,2022,410756
Fredensborg,2007,329843
Fredensborg,2011,342416
Fredensborg,2015,382642
Fredensborg,2019,411693
Fredensborg,2022,430982
Frederikssund,2007,287370
Frederikssund,2011,296106
Frederikssund,2015,316831
Frederikssund,2019,341632
Frederikssund,2022,375203
Furesø,2007,347257
Furesø,2011,366142
Furesø,2015,398031
Furesø,2019,441619
Furesø,2022,472637
Gribskov,2007,288008
Gribskov,2011,295048
Gribskov,2015,317617
Gribskov,2019,340353
Gribskov,2022,375897
Halsnæs,2007,259693
Halsnæs,2011,272706
Halsnæs,2015,294684
Halsnæs,2019,317475
Halsnæs,2022,343759
Helsingør,2007,297878
Helsingør,2011,303564
Helsingør,2015,334411
Helsingør,2019,364897
Helsingør,2022,396992
Hillerød,2007,307165
Hillerød,2011,321930
Hillerød,2015,355401
Hillerød,2019,375970
Hillerød,2022,411800
Hørsholm,2007,456238
Hørsholm,2011,454837
Hørsholm,2015,504636
Hørsholm,2019,552971
Hørsholm,2022,586706
Rudersdal,2007,439930
Rudersdal,2011,452464
Rudersdal,2015,534903
Rudersdal,2019,619415
Rudersdal,2022,638024
Landsdel Bornholm,2007,224673
Landsdel Bornholm,2011,243998
Landsdel Bornholm,2015,262203
Landsdel Bornholm,2019,291198
Landsdel Bornholm,2022,311362
Bornholm,2007,224673
Bornholm,2011,243998
Bornholm,2015,262203
Bornholm,2019,291198
Bornholm,2022,311362
Landsdel Østsjælland,2007,300898
Landsdel Østsjælland,2011,310861
Landsdel Østsjælland,2015,334500
Landsdel Østsjælland,2019,366362
Landsdel Østsjælland,2022,397610
Greve,2007,311442
Greve,2011,315484
Greve,2015,334804
Greve,2019,360347
Greve,2022,389332
Køge,2007,279334
Køge,2011,290079
Køge,2015,311097
Køge,2019,339180
Køge,2022,371967
Lejre,2007,298882
Lejre,2011,315855
Lejre,2015,337277
Lejre,2019,366862
Lejre,2022,397523
Roskilde,2007,302285
Roskilde,2011,315354
Roskilde,2015,342134
Roskilde,2019,377376
Roskilde,2022,411307
Solrød,2007,333108
Solrød,2011,332781
Solrød,2015,364750
Solrød,2019,409689
Solrød,2022,431338
Landsdel Vest- og Sydsjælland,2007,252523
Landsdel Vest- og Sydsjælland,2011,263707
Landsdel Vest- og Sydsjælland,2015,284229
Landsdel Vest- og Sydsjælland,2019,309143
Landsdel Vest- og Sydsjælland,2022,341298
Faxe,2007,265586
Faxe,2011,273599
Faxe,2015,290296
Faxe,2019,316447
Faxe,2022,347278
Guldborgsund,2007,233622
Guldborgsund,2011,244152
Guldborgsund,2015,267372
Guldborgsund,2019,289707
Guldborgsund,2022,321340
Holbæk,2007,265893
Holbæk,2011,278393
Holbæk,2015,302431
Holbæk,2019,327589
Holbæk,2022,362477
Kalundborg,2007,257418
Kalundborg,2011,267457
Kalundborg,2015,292268
Kalundborg,2019,313234
Kalundborg,2022,345014
Lolland,2007,219769
Lolland,2011,237375
Lolland,2015,256398
Lolland,2019,276923
Lolland,2022,306887
Næstved,2007,260530
Næstved,2011,271004
Næstved,2015,288941
Næstved,2019,315629
Næstved,2022,344724
Odsherred,2007,245661
Odsherred,2011,252743
Odsherred,2015,271584
Odsherred,2019,294814
Odsherred,2022,323658
Ringsted,2007,270675
Ringsted,2011,281999
Ringsted,2015,300358
Ringsted,2019,328577
Ringsted,2022,360008
Slagelse,2007,252904
Slagelse,2011,260868
Slagelse,2015,277129
Slagelse,2019,303009
Slagelse,2022,337047
Sorø,2007,265225
Sorø,2011,277830
Sorø,2015,302594
Sorø,2019,331063
Sorø,2022,358972
Stevns,2007,267297
Stevns,2011,280172
Stevns,2015,299755
Stevns,2019,330035
Stevns,2022,360671
Vordingborg,2007,243240
Vordingborg,2011,254837
Vordingborg,2015,275865
Vordingborg,2019,297340
Vordingborg,2022,334910
Landsdel Fyn,2007,247122
Landsdel Fyn,2011,261474
Landsdel Fyn,2015,280597
Landsdel Fyn,2019,306467
Landsdel Fyn,2022,336291
Assens,2007,250465
Assens,2011,262639
Assens,2015,279089
Assens,2019,307255
Assens,2022,333231
Faaborg-Midtfyn,2007,245010
Faaborg-Midtfyn,2011,257817
Faaborg-Midtfyn,2015,278217
Faaborg-Midtfyn,2019,303491
Faaborg-Midtfyn,2022,333316
Kerteminde,2007,259132
Kerteminde,2011,268944
Kerteminde,2015,291161
Kerteminde,2019,319218
Kerteminde,2022,351021
Langeland,2007,219977
Langeland,2011,231100
Langeland,2015,247889
Langeland,2019,273927
Langeland,2022,298690
Middelfart,2007,266468
Middelfart,2011,281700
Middelfart,2015,309662
Middelfart,2019,346553
Middelfart,2022,380569
Nordfyns,2007,244530
Nordfyns,2011,260881
Nordfyns,2015,278900
Nordfyns,2019,305767
Nordfyns,2022,333427
Nyborg,2007,245837
Nyborg,2011,262825
Nyborg,2015,278787
Nyborg,2019,305597
Nyborg,2022,334811
Odense,2007,245604
Odense,2011,260104
Odense,2015,277392
Odense,2019,299596
Odense,2022,329574
Svendborg,2007,245658
Svendborg,2011,262339
Svendborg,2015,283894
Svendborg,2019,312320
Svendborg,2022,343191
Ærø,2007,227712
Ærø,2011,236411
Ærø,2015,254644
Ærø,2019,275369
Ærø,2022,298257
Landsdel Sydjylland,2007,259028
Landsdel Sydjylland,2011,270942
Landsdel Sydjylland,2015,292191
Landsdel Sydjylland,2019,321709
Landsdel Sydjylland,2022,354668
Billund,2007,267100
Billund,2011,276243
Billund,2015,298105
Billund,2019,330078
Billund,2022,365635
Esbjerg,2007,258076
Esbjerg,2011,273569
Esbjerg,2015,294849
Esbjerg,2019,323003
Esbjerg,2022,354270
Fanø,2007,276948
Fanø,2011,292860
Fanø,2015,311302
Fanø,2019,332734
Fanø,2022,356100
Fredericia,2007,263683
Fredericia,2011,275355
Fredericia,2015,295812
Fredericia,2019,320608
Fredericia,2022,353985
Haderslev,2007,253521
Haderslev,2011,262565
Haderslev,2015,280738
Haderslev,2019,307969
Haderslev,2022,335529
Kolding,2007,269683
Kolding,2011,282190
Kolding,2015,303927
Kolding,2019,332888
Kolding,2022,366491
Sønderborg,2007,248417
Sønderborg,2011,264899
