stemmested,year,ratio
Hele landet,2007,1.8518055199696264
Hele landet,2011,2.8542422897603315
Hele landet,2015,2.150153880706483
Hele landet,2019,1.7842927531243014
Hele landet,2022,1.274533749951926
Region Hovedstaden,2007,2.1222791001473427
Region Hovedstaden,2011,3.0197406198792733
Region Hovedstaden,2015,2.345016902056515
Region Hovedstaden,2019,1.9129372862683336
Region Hovedstaden,2022,1.450452872852612
København,2007,3.2856013697850983
København,2011,4.0569393720040186
København,2015,3.0059403187049663
København,2019,2.481592237856248
København,2022,1.934369655696606
Frederiksberg,2007,2.1948974787038225
Frederiksberg,2011,2.9933072004947285
Frederiksberg,2015,2.450005735479677
Frederiksberg,2019,2.0050101441130805
Frederiksberg,2022,1.5820459728437706
Dragør,2007,1.1462182339190106
Dragør,2011,1.6834280717096632
Dragør,2015,1.3753012902311073
Dragør,2019,1.2089810017271156
Dragør,2022,0.9090287745198551
Tårnby,2007,1.8442622950819672
Tårnby,2011,2.8894991372815864
Tårnby,2015,2.192061937409636
Tårnby,2019,1.526948195319218
Tårnby,2022,1.3123420436365323
Albertslund,2007,2.4418520397072676
Albertslund,2011,3.7143679815721278
Albertslund,2015,3.047770012248721
Albertslund,2019,2.349454203715752
Albertslund,2022,1.5992167101827677
Ballerup,2007,1.1970455896086256
Ballerup,2011,2.3435712948907232
Ballerup,2015,2.0084566596194504
Ballerup,2019,1.6090768437338834
Ballerup,2022,1.0791511212741205
Brøndby,2007,1.675977653631285
Brøndby,2011,3.105918271488962
Brøndby,2015,2.740268931351734
Brøndby,2019,2.637794155308312
Brøndby,2022,2.032231630701994
Gentofte,2007,1.3437232452512589
Gentofte,2011,1.7516821928364041
Gentofte,2015,1.4336062750086123
Gentofte,2019,1.3805786170226944
Gentofte,2022,1.0446521843945036
Gladsaxe,2007,1.6479652185032447
Gladsaxe,2011,2.591769484251667
Gladsaxe,2015,2.1948663448906993
Gladsaxe,2019,1.618920047818635
Gladsaxe,2022,1.0302345214417559
Glostrup,2007,1.7897741014850288
Glostrup,2011,3.335343507909264
Glostrup,2015,2.624204954854779
Glostrup,2019,1.98452159626443
Glostrup,2022,1.578101201556947
Herlev,2007,1.7766401927202922
Herlev,2011,2.804827612136707
Herlev,2015,2.1614950634696757
Herlev,2019,1.4258095698405027
Herlev,2022,1.0851965411513418
Hvidovre,2007,1.5249088699878492
Hvidovre,2011,2.6205803704070516
Hvidovre,2015,2.084870499649999
Hvidovre,2019,1.7017222699592782
Hvidovre,2022,1.357669147623144
Høje-Taastrup,2007,2.0590355825098605
Høje-Taastrup,2011,3.6618839675608235
Høje-Taastrup,2015,3.091066016338492
Høje-Taastrup,2019,2.164272820029825
Høje-Taastrup,2022,1.8134240960327916
Ishøj,2007,3.1710736211147097
Ishøj,2011,4.795526702364593
Ishøj,2015,4.128522706874888
Ishøj,2019,2.866602770758909
Ishøj,2022,2.3161749052667435
Lyngby-Taarbæk,2007,1.137048339131956
Lyngby-Taarbæk,2011,1.9062852841550622
Lyngby-Taarbæk,2015,1.4521428182461744
Lyngby-Taarbæk,2019,1.30304693447586
Lyngby-Taarbæk,2022,0.9990249243033341
Rødovre,2007,1.6544931385568835
Rødovre,2011,2.8707353540845455
Rødovre,2015,2.4323896049017537
Rødovre,2019,2.1531806115426213
Rødovre,2022,1.6459158649311452
Vallensbæk,2007,1.395273812404226
Vallensbæk,2011,2.4739583333333335
Vallensbæk,2015,2.0322036099207894
Vallensbæk,2019,1.573951700108134
Vallensbæk,2022,1.251854049243548
Allerød,2007,0.8215213042182777
Allerød,2011,1.4639218132667915
Allerød,2015,1.0067795234035644
Allerød,2019,1.0244225450862774
Allerød,2022,0.7143131456661163
Egedal,2007,0.7968815533022475
Egedal,2011,1.868465752769205
Egedal,2015,1.3522682076597337
Egedal,2019,1.3603093495373568
Egedal,2022,0.8926985254929828
Fredensborg,2007,1.4984709480122325
Fredensborg,2011,2.1587285519056536
Fredensborg,2015,1.7434309121790388
Fredensborg,2019,1.3252982533499915
Fredensborg,2022,0.9157816508043056
Frederikssund,2007,1.0861185433767175
Frederikssund,2011,2.458813188794483
Frederikssund,2015,1.850611661755514
Frederikssund,2019,1.3406661365845038
Frederikssund,2022,0.9208222553660592
Furesø,2007,1.473438288156742
Furesø,2011,1.925642971141519
Furesø,2015,1.6727600540892473
Furesø,2019,1.186395351664114
Furesø,2022,0.9233412067854843
Gribskov,2007,1.328001579778831
Gribskov,2011,2.393675967197774
Gribskov,2015,1.6662618411464658
Gribskov,2019,1.2144765606023804
Gribskov,2022,0.7640190283984432
Halsnæs,2007,1.4890994030625486
Halsnæs,2011,3.144714819106476
Halsnæs,2015,2.003096574414554
Halsnæs,2019,1.48595015081759
Halsnæs,2022,0.9905690233559086
Helsingør,2007,1.6106764841233319
